client_id,registration_date,client_segment,manager_id,acquisition_channel,status
174,2026-01-19,Mass,3,Branch,Dormant
175,2025-05-04,Premium,2,Mobile App,Closed
176,2026-01-26,Mass,4,Mobile App,Active
177,2025-09-10,Affluent,2,Mobile App,Active
178,2025-11-04,Mass,2,Referral,Active
179,2025-11-24,Mass,4,Branch,Active
180,2025-02-04,Mass,7,Mobile App,Active
181,2025-01-25,Mass,5,Referral,Active
182,2026-02-02,Affluent,5,Paid Search,Active
183,2025-06-06,Mass,1,Branch,Active
184,2026-01-12,Mass,7,Partner,Active
185,2025-12-22,Mass,6,Referral,Active
186,2025-11-11,Mass,6,Branch,Active
187,2026-04-18,Premium,4,Mobile App,Active
188,2025-08-05,Mass,5,Referral,Active
189,2025-02-10,Mass,7,Mobile App,Active
190,2025-12-05,Premium,2,Paid Search,Active
191,2025-03-12,Mass,1,Mobile App,Active
192,2025-02-09,Mass,8,Referral,Active
193,2026-01-01,Mass,1,Mobile App,Active
194,2025-08-13,Mass,7,Partner,Dormant
195,2026-01-27,Mass,5,Referral,Active
196,2025-06-03,Affluent,6,Partner,Active
197,2025-09-07,Mass,3,Mobile App,Active
198,2026-03-26,Mass,2,Partner,Dormant
199,2026-05-22,Mass,6,Referral,Dormant
200,2026-01-27,Mass,5,Partner,Dormant
201,2025-04-04,Mass,3,Mobile App,Active
202,2025-11-04,Mass,2,Mobile App,Dormant
203,2025-03-30,Premium,4,Branch,Active
204,2025-08-18,Mass,8,Mobile App,Active
205,2025-01-11,Mass,1,Partner,Active
206,2025-08-18,Mass,6,Mobile App,Active
207,2025-04-21,Mass,3,Paid Search,Active
208,2025-10-04,Affluent,4,Partner,Active
209,2026-02-15,Mass,8,Paid Search,Active
210,2025-06-07,Mass,6,Referral,Active
211,2025-10-11,Mass,2,Referral,Dormant
212,2025-04-15,Corporate,3,Mobile App,Active
213,2025-01-26,Mass,7,Mobile App,Active
214,2025-02-17,Mass,5,Mobile App,Dormant
215,2026-03-03,Premium,3,Mobile App,Active
216,2026-05-15,Mass,3,Mobile App,Active
217,2025-02-10,Mass,6,Mobile App,Dormant
218,2025-10-24,Mass,2,Branch,Active
219,2025-07-02,Mass,3,Mobile App,Active
220,2025-08-22,Affluent,7,Paid Search,Active
221,2026-05-08,Mass,1,Mobile App,Active
222,2025-08-17,Mass,6,Mobile App,Active
223,2026-06-03,Affluent,3,Branch,Dormant
224,2025-01-09,Mass,3,Mobile App,Active
225,2026-03-03,Affluent,3,Branch,Dormant
226,2025-09-23,Mass,3,Branch,Dormant
227,2025-06-18,Mass,4,Mobile App,Active
228,2026-05-22,Mass,5,Mobile App,Active
229,2026-04-08,Mass,3,Referral,Dormant
230,2026-03-09,Mass,4,Mobile App,Dormant
231,2025-10-11,Affluent,7,Mobile App,Dormant
232,2025-12-23,Mass,6,Mobile App,Active
233,2026-03-11,Premium,6,Mobile App,Active
234,2025-11-12,Mass,3,Referral,Active
235,2026-05-10,Mass,5,Mobile App,Dormant
236,2025-11-05,Mass,4,Branch,Active
237,2026-04-30,Mass,1,Mobile App,Dormant
238,2025-06-06,Affluent,8,Partner,Active
239,2026-06-10,Mass,4,Mobile App,Active
240,2025-10-02,Mass,1,Mobile App,Active
241,2025-12-27,Corporate,7,Mobile App,Dormant
242,2025-02-12,Mass,5,Mobile App,Dormant
243,2026-03-12,Mass,3,Mobile App,Active
244,2026-04-23,Mass,1,Mobile App,Active
245,2025-06-06,Mass,4,Referral,Active
246,2025-08-27,Mass,5,Referral,Active
247,2025-09-13,Mass,1,Referral,Active
248,2025-01-29,Mass,6,Paid Search,Active
249,2025-11-02,Mass,8,Mobile App,Active
250,2025-11-30,Premium,7,Mobile App,Dormant
251,2026-03-15,Mass,2,Partner,Active
252,2026-01-21,Mass,7,Referral,Active
253,2025-05-03,Affluent,2,Partner,Active
254,2026-05-27,Corporate,4,Referral,Active
255,2025-06-02,Mass,8,Referral,Dormant
256,2026-05-20,Mass,1,Mobile App,Dormant
257,2025-09-24,Affluent,2,Mobile App,Active
258,2025-09-10,Mass,6,Mobile App,Active
259,2026-01-14,Mass,1,Paid Search,Active
260,2025-10-22,Mass,7,Referral,Active
261,2025-10-13,Affluent,7,Mobile App,Active
262,2026-06-16,Mass,4,Partner,Active
263,2025-01-02,Mass,4,Mobile App,Active
264,2026-01-29,Mass,8,Mobile App,Closed
265,2025-10-25,Affluent,3,Branch,Active
266,2025-06-17,Premium,6,Mobile App,Active
267,2026-04-18,Mass,2,Branch,Active
268,2025-03-21,Premium,8,Partner,Active
269,2025-06-01,Corporate,8,Mobile App,Active
270,2025-02-14,Mass,4,Paid Search,Active
271,2025-12-12,Mass,5,Paid Search,Active
272,2025-10-02,Affluent,5,Mobile App,Active
273,2025-09-16,Mass,2,Paid Search,Active
274,2026-03-25,Affluent,7,Branch,Active
275,2025-06-26,Mass,2,Mobile App,Active
276,2025-05-16,Mass,3,Mobile App,Dormant
277,2025-11-21,Affluent,1,Referral,Active
278,2025-07-01,Affluent,2,Branch,Active
279,2025-10-11,Mass,8,Partner,Active
280,2025-07-01,Premium,3,Paid Search,Active
281,2026-01-29,Affluent,7,Mobile App,Dormant
282,2025-07-20,Mass,7,Branch,Dormant
283,2025-05-17,Mass,4,Referral,Active
284,2025-03-09,Affluent,8,Mobile App,Active
285,2025-01-15,Affluent,6,Paid Search,Active
286,2025-08-22,Affluent,8,Mobile App,Active
287,2026-04-21,Mass,4,Mobile App,Dormant
288,2025-01-18,Mass,1,Mobile App,Dormant
289,2025-09-26,Mass,5,Mobile App,Active
290,2025-09-02,Mass,2,Mobile App,Active
291,2025-11-06,Mass,6,Branch,Active
292,2025-02-06,Mass,2,Referral,Active
293,2026-03-06,Mass,4,Paid Search,Active
294,2025-06-19,Mass,7,Branch,Active
295,2026-03-20,Corporate,7,Branch,Active
296,2026-01-12,Premium,5,Partner,Active
297,2026-01-29,Mass,4,Mobile App,Active
298,2025-09-14,Mass,2,Partner,Closed
299,2026-02-17,Mass,3,Mobile App,Active
300,2026-03-14,Affluent,2,Mobile App,Active
301,2026-06-04,Mass,8,Mobile App,Dormant
302,2026-06-02,Affluent,6,Mobile App,Active
303,2026-03-01,Mass,4,Referral,Active
304,2025-12-12,Mass,3,Mobile App,Active
305,2025-07-05,Mass,7,Referral,Active
306,2025-02-13,Mass,5,Mobile App,Active
307,2025-11-15,Mass,2,Mobile App,Dormant
308,2026-03-03,Premium,5,Branch,Active
309,2026-05-01,Premium,7,Paid Search,Active
310,2025-04-15,Affluent,3,Mobile App,Active
311,2025-03-24,Affluent,5,Mobile App,Active
312,2025-12-17,Mass,2,Referral,Closed
313,2025-04-30,Mass,2,Partner,Active
314,2025-09-04,Affluent,4,Mobile App,Active
315,2025-09-28,Mass,6,Mobile App,Active
316,2025-01-06,Mass,4,Partner,Active
317,2025-02-11,Mass,4,Mobile App,Active
318,2025-08-03,Mass,2,Branch,Active
319,2025-06-16,Corporate,7,Paid Search,Active
320,2026-02-04,Mass,1,Mobile App,Closed
